customer_id,frequency,monetary,recency,pre_pivot_frequency,pivot_ratio,product_diversity,loan_taken,loan_defaulted,clusters
CUS00085,0,0.0,184,1,0.0,0,0,0,2
CUS00086,8,436300.0,7,8,0.8889,3,0,0,4
CUS00087,0,0.0,184,1,0.0,0,0,0,2
CUS00088,1,15200.0,170,4,0.2,1,0,0,2
CUS00089,1,5600.0,79,5,0.1667,1,1,1,1
CUS00090,3,163850.0,39,8,0.3333,3,1,1,1
CUS00091,8,369950.0,19,7,1.0,4,1,1,4
CUS00092,2,2000.0,91,2,0.6667,1,1,0,3
CUS00093,0,0.0,184,2,0.0,0,0,0,2
CUS00094,0,0.0,184,2,0.0,0,0,0,2
CUS00095,0,0.0,184,6,0.0,0,1,1,1
CUS00096,8,221650.0,10,15,0.5,4,1,0,4
CUS00097,1,12000.0,181,7,0.125,1,1,1,1
CUS00098,0,0.0,184,5,0.0,0,1,0,3
CUS00099,0,0.0,184,3,0.0,0,1,0,3
CUS00100,13,461100.0,7,10,1.1818,4,0,0,0
CUS00101,1,83400.0,41,9,0.1,1,1,1,1
CUS00102,9,313050.0,11,13,0.6429,3,1,1,4
CUS00103,0,0.0,184,1,0.0,0,0,0,2
CUS00104,1,63900.0,12,8,0.1111,1,1,0,3
CUS00105,2,49250.0,2,4,0.4,2,0,0,2
CUS00106,0,0.0,184,3,0.0,0,1,0,3
CUS00107,17,676650.0,26,8,1.8889,4,0,0,0
CUS00108,2,2400.0,98,1,1.0,1,0,0,2
CUS00109,1,16700.0,182,10,0.0909,1,1,1,1
CUS00110,9,415600.0,5,6,1.2857,4,1,1,4
CUS00111,2,92350.0,38,5,0.3333,2,0,0,2
CUS00112,0,0.0,184,1,0.0,0,0,0,2
CUS00113,2,50550.0,84,4,0.4,2,0,0,2
CUS00114,6,99200.0,60,6,0.8571,4,1,1,4
CUS00115,0,0.0,184,2,0.0,0,0,0,2
CUS00116,9,399900.0,7,12,0.6923,4,1,0,4
CUS00117,0,0.0,184,10,0.0,0,1,0,3
CUS00118,3,129950.0,40,12,0.2308,2,0,0,4
CUS00119,7,285650.0,11,13,0.5,3,1,0,4
CUS00120,3,91950.0,67,4,0.6,2,0,0,2
CUS00121,1,18850.0,77,4,0.2,1,1,0,3
CUS00122,6,361650.0,5,15,0.375,3,0,0,4
CUS00123,9,466250.0,5,12,0.6923,4,1,0,4
CUS00124,3,24050.0,76,4,0.6,2,0,0,2
CUS00125,0,0.0,184,1,0.0,0,0,0,2
CUS00126,15,281600.0,6,6,2.1429,4,0,0,0
CUS00127,8,189400.0,48,9,0.8,5,1,0,4
CUS00128,7,281100.0,8,5,1.1667,3,1,0,4
CUS00129,0,0.0,184,3,0.0,0,0,0,2
CUS00130,8,93950.0,43,11,0.6667,3,1,0,4
CUS00131,12,384000.0,8,6,1.7143,4,0,0,0
CUS00132,0,0.0,184,5,0.0,0,1,1,1
CUS00133,0,0.0,184,5,0.0,0,1,1,1
CUS00134,6,174250.0,54,6,0.8571,3,1,0,4
CUS00135,1,23400.0,89,8,0.1111,1,1,1,1
CUS00136,1,300.0,67,10,0.0909,1,1,1,1
CUS00137,1,8300.0,15,7,0.125,1,1,1,1
CUS00138,1,23650.0,82,3,0.25,1,1,1,1
CUS00139,1,81950.0,23,10,0.0909,1,1,0,3
CUS00140,1,93400.0,69,6,0.1429,1,1,1,1
CUS00141,0,0.0,184,2,0.0,0,0,0,2
CUS00142,1,29300.0,41,1,0.5,1,0,0,2
CUS00143,10,325800.0,4,5,1.6667,4,0,0,0
CUS00144,5,137850.0,15,9,0.5,3,0,0,4
CUS00145,7,287400.0,17,15,0.4375,4,0,0,4
CUS00146,4,75300.0,9,8,0.4444,3,1,0,4
CUS00147,0,0.0,184,1,0.0,0,0,0,2
CUS00148,0,0.0,184,6,0.0,0,1,1,1
CUS00149,7,312800.0,8,13,0.5,4,0,0,4
CUS00150,9,235400.0,29,11,0.75,2,0,0,4
CUS00151,5,299800.0,28,5,0.8333,2,0,0,4
CUS00152,3,137850.0,22,15,0.1875,3,1,0,4
CUS00153,5,142300.0,67,14,0.3333,3,1,0,4
CUS00154,1,46800.0,51,5,0.1667,1,1,1,1
CUS00155,6,217500.0,11,15,0.375,3,1,1,4
CUS00156,2,5300.0,95,5,0.3333,2,0,0,2
CUS00157,0,0.0,184,9,0.0,0,1,1,1
CUS00158,0,0.0,184,7,0.0,0,1,0,3
CUS00159,5,406200.0,16,15,0.3125,2,1,0,4
CUS00160,10,273350.0,22,14,0.6667,3,1,1,4
CUS00161,5,364950.0,69,12,0.3846,4,1,1,4
CUS00162,10,396150.0,4,10,0.9091,3,0,0,4
CUS00163,7,292800.0,2,11,0.5833,4,0,0,4
CUS00164,0,0.0,184,4,0.0,0,0,0,2
CUS00165,5,272350.0,32,9,0.5,3,1,0,4
CUS00166,0,0.0,184,1,0.0,0,0,0,2
CUS00167,1,23300.0,45,3,0.25,1,0,0,2
CUS00168,5,116300.0,36,5,0.8333,3,0,0,4
CUS00169,1,88600.0,93,5,0.1667,1,1,0,3
CUS00170,0,0.0,184,5,0.0,0,1,1,1
CUS00171,0,0.0,184,4,0.0,0,1,1,1
CUS00172,0,0.0,184,4,0.0,0,0,0,2
CUS00173,0,0.0,184,9,0.0,0,1,1,1
CUS00174,1,22950.0,39,7,0.125,1,1,0,3
CUS00175,0,0.0,184,6,0.0,0,1,1,1
CUS00176,12,386100.0,15,7,1.5,4,0,0,0
CUS00177,7,83100.0,83,15,0.4375,3,1,1,4
CUS00178,3,115450.0,64,4,0.6,2,1,1,1
CUS00179,0,0.0,184,1,0.0,0,0,0,2
CUS00180,10,486150.0,13,6,1.4286,4,0,0,0
CUS00181,0,0.0,184,10,0.0,0,1,0,3
CUS00182,16,439600.0,9,8,1.7778,4,0,0,0
CUS00183,5,108800.0,59,7,0.625,2,0,0,4
CUS00184,1,2850.0,168,6,0.1429,1,1,1,1
CUS00185,8,402550.0,34,6,1.1429,2,1,0,4
CUS00186,0,0.0,184,6,0.0,0,1,1,1
CUS00187,3,135800.0,53,2,1.0,3,0,0,2
CUS00188,0,0.0,184,7,0.0,0,1,0,3
CUS00189,11,588250.0,6,6,1.5714,4,1,0,0
CUS00190,1,78600.0,21,8,0.1111,1,1,0,3
CUS00191,0,0.0,184,10,0.0,0,1,1,1
CUS00192,10,244650.0,11,9,1.0,3,0,0,4
CUS00193,1,19050.0,157,1,0.5,1,1,0,3
CUS00194,0,0.0,184,9,0.0,0,1,0,3
CUS00195,3,164600.0,47,10,0.2727,2,1,1,1
CUS00196,1,21550.0,55,8,0.1111,1,1,0,3
CUS00197,2,162350.0,33,4,0.4,1,0,0,2
CUS00198,0,0.0,184,3,0.0,0,1,0,3
CUS00199,13,538550.0,23,9,1.3,4,1,0,0
CUS00200,0,0.0,184,9,0.0,0,1,1,1
CUS00201,3,224300.0,57,4,0.6,3,0,0,2
CUS00202,3,33350.0,36,3,0.75,2,0,0,2
CUS00203,3,33450.0,37,4,0.6,2,1,0,3
CUS00204,1,22450.0,9,3,0.25,1,0,0,2
CUS00205,1,11900.0,69,5,0.1667,1,1,1,1
CUS00206,7,95900.0,11,10,0.6364,2,1,0,4
CUS00207,5,122750.0,11,14,0.3333,3,1,1,4
CUS00208,0,0.0,184,1,0.0,0,1,0,3
CUS00209,2,81450.0,11,3,0.5,1,0,0,2
CUS00210,0,0.0,184,4,0.0,0,1,1,1
CUS00211,0,0.0,184,7,0.0,0,1,0,3
CUS00212,10,311650.0,12,10,0.9091,3,1,0,4
CUS00213,14,637700.0,12,11,1.1667,4,0,0,0
CUS00214,0,0.0,184,8,0.0,0,1,0,3
CUS00215,9,535700.0,29,6,1.2857,4,1,0,0
CUS00216,0,0.0,184,5,0.0,0,1,1,1
CUS00217,4,289600.0,77,10,0.3636,2,1,0,4
CUS00218,1,28950.0,10,6,0.1429,1,1,1,1
CUS00219,16,635750.0,1,11,1.3333,3,0,0,0
CUS00220,0,0.0,184,2,0.0,0,0,0,2
CUS00221,1,32600.0,179,5,0.1667,1,1,1,1
CUS00222,15,893350.0,11,8,1.6667,6,0,0,0
CUS00223,0,0.0,184,2,0.0,0,0,0,2
CUS00224,1,1150.0,162,1,0.5,1,1,0,3
CUS00225,1,61850.0,133,1,0.5,1,0,0,2
CUS00226,4,280050.0,2,6,0.5714,3,1,0,4
CUS00227,1,36750.0,49,5,0.1667,1,1,1,1
CUS00228,0,0.0,184,2,0.0,0,0,0,2
CUS00229,0,0.0,184,5,0.0,0,1,1,1
CUS00230,1,25150.0,183,8,0.1111,1,1,0,3
CUS00231,8,163950.0,15,10,0.7273,4,1,0,4
CUS00232,1,4650.0,134,3,0.25,1,1,1,1
CUS00233,1,87400.0,63,7,0.125,1,1,0,3
CUS00234,0,0.0,184,1,0.0,0,0,0,2
CUS00235,5,138750.0,78,13,0.3571,3,1,0,4
CUS00236,9,419550.0,58,10,0.8182,5,0,0,4
CUS00237,17,942800.0,2,9,1.7,6,0,0,0
CUS00238,0,0.0,184,10,0.0,0,1,1,1
CUS00239,0,0.0,184,8,0.0,0,1,0,3
CUS00240,6,334800.0,37,8,0.6667,3,1,0,4
CUS00241,7,315350.0,8,7,0.875,3,0,0,4
CUS00242,9,408000.0,40,6,1.2857,6,0,0,0
CUS00243,3,116500.0,66,2,1.0,3,1,0,3
CUS00244,3,50500.0,39,13,0.2143,3,1,0,4
CUS00245,0,0.0,184,8,0.0,0,1,0,3
CUS00246,7,305750.0,41,11,0.5833,3,0,0,4
CUS00247,1,800.0,74,10,0.0909,1,1,1,1
CUS00248,5,102750.0,42,7,0.625,4,0,0,4
CUS00249,1,41800.0,62,10,0.0909,1,1,1,1
CUS00250,7,181750.0,14,7,0.875,3,0,0,4
CUS00251,1,18350.0,88,9,0.1,1,1,1,1
CUS00252,0,0.0,184,6,0.0,0,1,1,1
CUS00253,2,15050.0,78,2,0.6667,2,1,0,3
CUS00254,1,200.0,30,7,0.125,1,1,0,3
CUS00255,1,72300.0,4,10,0.0909,1,1,0,3
CUS00256,9,268750.0,2,7,1.125,3,0,0,4
CUS00257,0,0.0,184,8,0.0,0,1,0,3
CUS00258,3,4550.0,32,2,1.0,1,1,1,1
CUS00259,0,0.0,184,4,0.0,0,1,1,1
CUS00260,10,332600.0,10,11,0.8333,3,1,0,4
CUS00261,1,10600.0,6,5,0.1667,1,1,0,3
CUS00262,6,104350.0,26,10,0.5455,4,0,0,4
CUS00263,15,953450.0,15,4,3.0,6,0,0,0
CUS00264,1,144950.0,165,3,0.25,1,1,1,1
CUS00265,1,7800.0,70,2,0.3333,1,1,0,3
CUS00266,0,0.0,184,4,0.0,0,1,1,1
CUS00267,0,0.0,184,3,0.0,0,1,1,1
CUS00268,0,0.0,184,1,0.0,0,0,0,2
CUS00269,0,0.0,184,4,0.0,0,1,0,3
CUS00270,0,0.0,184,2,0.0,0,0,0,2
CUS00271,10,132050.0,14,12,0.7692,4,0,0,4
CUS00272,8,501700.0,65,12,0.6154,5,1,0,4
CUS00273,0,0.0,184,3,0.0,0,1,1,1
CUS00274,1,16900.0,45,3,0.25,1,0,0,2
CUS00275,9,195050.0,39,9,0.9,3,1,1,4
CUS00276,15,380350.0,27,9,1.5,5,0,0,0
CUS00277,1,16800.0,131,3,0.25,1,0,0,2
CUS00278,16,372000.0,4,5,2.6667,3,1,0,0
CUS00279,1,1750.0,139,6,0.1429,1,1,1,1
CUS00280,1,2200.0,5,10,0.0909,1,1,0,3
CUS00281,14,596550.0,4,6,2.0,5,0,0,0
CUS00282,6,256450.0,102,10,0.5455,4,1,0,4
CUS00283,0,0.0,184,4,0.0,0,0,0,2
CUS00284,1,1850.0,83,8,0.1111,1,1,0,3
CUS00285,6,171000.0,45,7,0.75,5,1,1,4
CUS00286,0,0.0,184,3,0.0,0,1,0,3
CUS00287,1,1900.0,102,10,0.0909,1,1,1,1
CUS00288,1,26700.0,83,5,0.1667,1,1,1,1
CUS00289,0,0.0,184,2,0.0,0,0,0,2
CUS00290,1,43500.0,37,8,0.1111,1,1,1,1
CUS00291,5,282950.0,49,14,0.3333,3,0,0,4
CUS00292,1,1250.0,153,1,0.5,1,0,0,2
CUS00293,0,0.0,184,10,0.0,0,1,1,1
CUS00294,14,570650.0,40,4,2.8,4,1,0,0
CUS00295,0,0.0,184,10,0.0,0,1,1,1
CUS00296,0,0.0,184,4,0.0,0,1,0,3
CUS00297,3,63500.0,60,14,0.2,2,1,0,4
CUS00298,1,68550.0,122,4,0.2,1,1,0,3
CUS00299,0,0.0,184,5,0.0,0,1,0,3
CUS00300,0,0.0,184,1,0.0,0,0,0,2
CUS00301,1,37500.0,101,8,0.1111,1,1,1,1
CUS00302,0,0.0,184,2,0.0,0,0,0,2
CUS00303,2,124400.0,103,5,0.3333,2,0,0,2
CUS00304,0,0.0,184,1,0.0,0,0,0,2
CUS00305,3,134600.0,7,12,0.2308,2,1,0,4
CUS00306,6,244500.0,16,8,0.6667,4,1,0,4
CUS00307,1,35100.0,97,7,0.125,1,1,0,3
CUS00308,0,0.0,184,2,0.0,0,1,1,1
CUS00309,6,241450.0,58,4,1.2,4,0,0,4
CUS00310,2,72500.0,91,5,0.3333,2,0,0,2
CUS00311,4,23850.0,15,7,0.5,2,0,0,4
CUS00312,1,48450.0,81,3,0.25,1,0,0,2
CUS00313,0,0.0,184,3,0.0,0,1,1,1
CUS00314,15,628100.0,16,8,1.6667,4,0,0,0
CUS00315,1,38900.0,73,3,0.25,1,0,0,2
CUS00316,10,378200.0,18,11,0.8333,4,0,0,4
CUS00317,10,423150.0,8,5,1.6667,3,1,0,0
CUS00318,5,279700.0,10,8,0.5556,4,0,0,4
CUS00319,6,281100.0,101,5,1.0,5,0,0,4
CUS00320,0,0.0,184,10,0.0,0,1,1,1
CUS00321,3,85450.0,61,4,0.6,3,1,0,3
CUS00322,0,0.0,184,2,0.0,0,0,0,2
CUS00323,0,0.0,184,7,0.0,0,1,1,1
CUS00324,0,0.0,184,1,0.0,0,0,0,2
CUS00325,0,0.0,184,8,0.0,0,1,0,3
CUS00326,2,55350.0,31,2,0.6667,1,0,0,2
CUS00327,0,0.0,184,6,0.0,0,1,1,1
CUS00328,9,534250.0,2,15,0.5625,4,1,1,4
CUS00329,10,369250.0,6,5,1.6667,4,0,0,0
CUS00330,0,0.0,184,9,0.0,0,1,1,1
CUS00331,0,0.0,184,2,0.0,0,0,0,2
CUS00332,5,172700.0,23,15,0.3125,3,0,0,4
CUS00333,0,0.0,184,9,0.0,0,1,0,3
CUS00334,9,193400.0,13,6,1.2857,3,1,1,4
CUS00335,1,550.0,42,1,0.5,1,1,0,3
CUS00336,7,370800.0,12,14,0.4667,6,1,0,4
CUS00337,0,0.0,184,1,0.0,0,0,0,2
CUS00338,1,1400.0,64,4,0.2,1,1,0,3
CUS00339,0,0.0,184,1,0.0,0,0,0,2
CUS00340,0,0.0,184,8,0.0,0,1,1,1
CUS00341,0,0.0,184,2,0.0,0,0,0,2
CUS00342,1,300.0,51,7,0.125,1,1,1,1
CUS00343,2,18250.0,31,4,0.4,2,0,0,2
CUS00344,0,0.0,184,9,0.0,0,1,1,1
CUS00345,0,0.0,184,4,0.0,0,0,0,2
CUS00346,7,413700.0,3,13,0.5,3,1,0,4
CUS00347,1,700.0,81,10,0.0909,1,1,1,1
CUS00348,0,0.0,184,8,0.0,0,1,1,1
CUS00349,0,0.0,184,8,0.0,0,1,1,1
CUS00350,1,30800.0,23,3,0.25,1,1,0,3
CUS00351,7,153650.0,28,15,0.4375,4,0,0,4
CUS00352,9,594050.0,26,11,0.75,5,0,0,0
CUS00353,1,70200.0,39,10,0.0909,1,1,0,3
CUS00354,2,62300.0,52,5,0.3333,2,0,0,2
CUS00355,3,119750.0,23,3,0.75,2,0,0,2
CUS00356,0,0.0,184,4,0.0,0,1,1,1
CUS00357,0,0.0,184,4,0.0,0,1,0,3
CUS00358,12,458400.0,1,11,1.0,4,0,0,0
CUS00359,1,35100.0,116,10,0.0909,1,1,1,1
CUS00360,0,0.0,184,1,0.0,0,0,0,2
CUS00361,10,281600.0,59,8,1.1111,4,1,0,4
CUS00362,2,121350.0,17,4,0.4,2,0,0,2
CUS00363,1,250.0,132,8,0.1111,1,1,1,1
CUS00364,17,1032100.0,5,4,3.4,6,0,0,0
CUS00365,0,0.0,184,10,0.0,0,1,1,1
CUS00366,1,700.0,71,3,0.25,1,0,0,2
CUS00367,0,0.0,184,1,0.0,0,0,0,2
CUS00368,0,0.0,184,1,0.0,0,0,0,2
CUS00369,17,718450.0,6,12,1.3077,4,1,0,0
CUS00370,1,250.0,93,4,0.2,1,1,0,3
CUS00371,18,719550.0,6,7,2.25,5,0,0,0
CUS00372,3,178900.0,30,12,0.2308,2,0,0,4
CUS00373,4,107500.0,4,14,0.2667,3,0,0,4
CUS00374,1,34950.0,15,8,0.1111,1,1,1,1
CUS00375,10,446850.0,45,12,0.7692,6,1,0,4
CUS00376,0,0.0,184,1,0.0,0,0,0,2
CUS00377,2,33400.0,24,3,0.5,2,0,0,2
CUS00378,0,0.0,184,6,0.0,0,1,1,1
CUS00379,0,0.0,184,10,0.0,0,1,1,1
CUS00380,3,105400.0,94,3,0.75,2,0,0,2
CUS00381,6,90950.0,10,13,0.4286,3,1,1,4
CUS00382,1,4650.0,35,8,0.1111,1,0,0,2
CUS00383,5,186250.0,22,9,0.5,3,1,1,4
CUS00384,1,49050.0,105,4,0.2,1,1,1,1
CUS00385,5,69750.0,105,11,0.4167,2,0,0,4
CUS00386,1,1850.0,129,8,0.1111,1,1,1,1
CUS00387,1,73550.0,178,6,0.1429,1,1,1,1
CUS00388,0,0.0,184,1,0.0,0,0,0,2
CUS00389,1,41650.0,159,9,0.1,1,1,1,1
CUS00390,10,317600.0,1,15,0.625,3,1,0,4
CUS00391,0,0.0,184,1,0.0,0,1,0,3
CUS00392,0,0.0,184,3,0.0,0,1,1,1
CUS00393,0,0.0,184,5,0.0,0,0,0,2
CUS00394,3,105500.0,77,1,1.5,3,1,1,1
CUS00395,1,43050.0,108,6,0.1429,1,1,1,1
CUS00396,4,56400.0,2,14,0.2667,2,1,0,4
CUS00397,0,0.0,184,10,0.0,0,1,0,3
CUS00398,13,304200.0,5,7,1.625,4,1,0,0
CUS00399,1,100.0,6,7,0.125,1,1,1,1
CUS00400,0,0.0,184,3,0.0,0,1,1,1
CUS00401,9,184750.0,11,13,0.6429,4,1,0,4
CUS00402,1,37950.0,117,6,0.1429,1,1,1,1
CUS00403,1,67900.0,74,6,0.1429,1,0,0,2
CUS00404,0,0.0,184,1,0.0,0,0,0,2
CUS00405,1,28450.0,126,10,0.0909,1,1,0,3
CUS00406,10,438650.0,5,9,1.0,5,0,0,0
CUS00407,1,77150.0,3,4,0.2,1,1,1,1
CUS00408,11,220400.0,11,10,1.0,4,0,0,4
CUS00409,4,303150.0,74,8,0.4444,4,0,0,4
CUS00410,1,30850.0,116,4,0.2,1,1,0,3
CUS00411,0,0.0,184,3,0.0,0,1,1,1
CUS00412,1,1400.0,108,8,0.1111,1,1,1,1
CUS00413,0,0.0,184,1,0.0,0,0,0,2
CUS00414,0,0.0,184,6,0.0,0,1,0,3
CUS00415,0,0.0,184,2,0.0,0,0,0,2
CUS00416,1,21700.0,156,10,0.0909,1,1,1,1
CUS00417,10,318200.0,17,12,0.7692,4,0,0,4
CUS00418,12,633850.0,10,5,2.0,6,1,0,0
CUS00419,1,28600.0,140,3,0.25,1,1,1,1
CUS00420,10,481750.0,56,9,1.0,4,1,1,4
CUS00421,0,0.0,184,1,0.0,0,0,0,2
CUS00422,1,16300.0,90,10,0.0909,1,1,0,3
CUS00423,8,285700.0,54,11,0.6667,3,0,0,4
CUS00424,13,596450.0,11,8,1.4444,6,0,0,0
CUS00425,0,0.0,184,6,0.0,0,1,1,1
CUS00426,0,0.0,184,3,0.0,0,1,1,1
CUS00427,3,83800.0,64,5,0.5,3,0,0,2
CUS00428,17,665450.0,7,9,1.7,4,0,0,0
CUS00429,3,127450.0,55,13,0.2143,3,1,1,4
CUS00430,2,62950.0,10,3,0.5,2,0,0,2
CUS00431,4,130600.0,3,13,0.2857,3,1,0,4
CUS00432,0,0.0,184,1,0.0,0,1,1,1
CUS00433,7,179700.0,89,12,0.5385,3,1,0,4
CUS00434,18,482850.0,14,7,2.25,4,0,0,0
CUS00435,0,0.0,184,1,0.0,0,0,0,2
CUS00436,0,0.0,184,1,0.0,0,0,0,2
CUS00437,3,75600.0,92,4,0.6,2,0,0,2
CUS00438,17,831300.0,4,6,2.4286,4,0,0,0
CUS00439,6,331450.0,34,9,0.6,3,0,0,4
CUS00440,1,1550.0,159,4,0.2,1,1,1,1
CUS00441,3,28500.0,110,3,0.75,2,0,0,2
CUS00442,12,419400.0,23,8,1.3333,4,0,0,0
CUS00443,1,69550.0,2,1,0.5,1,1,0,3
CUS00444,0,0.0,184,2,0.0,0,0,0,2
CUS00445,0,0.0,184,6,0.0,0,1,0,3
CUS00446,1,200.0,155,4,0.2,1,0,0,2
CUS00447,1,36300.0,161,6,0.1429,1,1,1,1
CUS00448,0,0.0,184,3,0.0,0,1,1,1
CUS00449,18,593750.0,31,10,1.6364,4,0,0,0
CUS00450,11,442400.0,5,8,1.2222,4,0,0,0
CUS00451,7,267600.0,20,11,0.5833,4,0,0,4
CUS00452,5,220700.0,60,13,0.3571,4,1,0,4
CUS00453,0,0.0,184,4,0.0,0,1,1,1
CUS00454,18,1011250.0,28,8,2.0,6,0,0,0
CUS00455,8,329100.0,13,8,0.8889,4,0,0,4
CUS00456,0,0.0,184,2,0.0,0,0,0,2
CUS00457,2,50450.0,37,4,0.4,2,1,0,3
CUS00458,1,9200.0,55,10,0.0909,1,1,1,1
CUS00459,15,606100.0,9,5,2.5,4,0,0,0
CUS00460,6,129250.0,54,9,0.6,4,0,0,4
CUS00461,15,919200.0,7,9,1.5,4,0,0,0
CUS00462,0,0.0,184,2,0.0,0,0,0,2
CUS00463,8,493800.0,1,11,0.6667,4,0,0,4
CUS00464,1,43700.0,43,2,0.3333,1,0,0,2
CUS00465,11,468250.0,23,6,1.5714,5,0,0,0
CUS00466,0,0.0,184,3,0.0,0,0,0,2
CUS00467,10,206600.0,2,14,0.6667,3,1,0,4
CUS00468,3,88800.0,105,3,0.75,2,0,0,2
CUS00469,18,754700.0,20,8,2.0,4,0,0,0
CUS00470,6,310250.0,31,10,0.5455,4,1,1,4
CUS00471,17,961350.0,22,5,2.8333,5,0,0,0
CUS00472,0,0.0,184,7,0.0,0,1,1,1
CUS00473,9,327800.0,4,9,0.9,3,1,0,4
CUS00474,1,1800.0,17,3,0.25,1,1,1,1
CUS00475,0,0.0,184,4,0.0,0,0,0,2
CUS00476,8,622750.0,5,11,0.6667,3,0,0,4
CUS00477,0,0.0,184,1,0.0,0,0,0,2
