loan_id,customer_id,loan_taken,loan_amount,loan_defaulted
LON00105,CUS00105,No,,
LON00106,CUS00106,Yes,10000.0,No
LON00107,CUS00107,No,,
LON00108,CUS00108,No,,
LON00109,CUS00109,Yes,10000.0,Yes
LON00110,CUS00110,Yes,40000.0,Yes
LON00111,CUS00111,No,,
LON00112,CUS00112,No,,
LON00113,CUS00113,No,,
LON00114,CUS00114,Yes,30000.0,Yes
LON00115,CUS00115,No,,
LON00116,CUS00116,Yes,40000.0,No
LON00117,CUS00117,Yes,20000.0,No
LON00118,CUS00118,No,,
LON00119,CUS00119,Yes,10000.0,No
LON00120,CUS00120,No,,
LON00121,CUS00121,Yes,30000.0,No
LON00122,CUS00122,No,,
LON00123,CUS00123,Yes,10000.0,No
LON00124,CUS00124,No,,
LON00125,CUS00125,No,,
LON00126,CUS00126,No,,
LON00127,CUS00127,Yes,30000.0,No
LON00128,CUS00128,Yes,20000.0,No
LON00129,CUS00129,No,,
LON00130,CUS00130,Yes,10000.0,No
LON00131,CUS00131,No,,
LON00132,CUS00132,Yes,20000.0,Yes
LON00133,CUS00133,Yes,30000.0,Yes
LON00134,CUS00134,Yes,20000.0,No
LON00135,CUS00135,Yes,20000.0,Yes
LON00136,CUS00136,Yes,20000.0,Yes
LON00137,CUS00137,Yes,10000.0,Yes
LON00138,CUS00138,Yes,20000.0,Yes
LON00139,CUS00139,Yes,10000.0,No
LON00140,CUS00140,Yes,20000.0,Yes
LON00141,CUS00141,No,,
LON00142,CUS00142,No,,
LON00143,CUS00143,No,,
LON00144,CUS00144,No,,
LON00145,CUS00145,No,,
LON00146,CUS00146,Yes,20000.0,No
LON00147,CUS00147,No,,
LON00148,CUS00148,Yes,10000.0,Yes
LON00149,CUS00149,No,,
LON00150,CUS00150,No,,
LON00151,CUS00151,No,,
LON00152,CUS00152,Yes,40000.0,No
LON00153,CUS00153,Yes,20000.0,No
LON00154,CUS00154,Yes,10000.0,Yes
LON00155,CUS00155,Yes,20000.0,Yes
LON00156,CUS00156,No,,
LON00157,CUS00157,Yes,10000.0,Yes
LON00158,CUS00158,Yes,20000.0,No
LON00159,CUS00159,Yes,20000.0,No
LON00160,CUS00160,Yes,10000.0,Yes
LON00161,CUS00161,Yes,30000.0,Yes
LON00162,CUS00162,No,,
LON00163,CUS00163,No,,
LON00164,CUS00164,No,,
LON00165,CUS00165,Yes,10000.0,No
LON00166,CUS00166,No,,
LON00167,CUS00167,No,,
LON00168,CUS00168,No,,
LON00169,CUS00169,Yes,30000.0,No
LON00170,CUS00170,Yes,20000.0,Yes
LON00171,CUS00171,Yes,20000.0,Yes
LON00172,CUS00172,No,,
LON00173,CUS00173,Yes,40000.0,Yes
LON00174,CUS00174,Yes,20000.0,No
LON00175,CUS00175,Yes,20000.0,Yes
LON00176,CUS00176,No,,
LON00177,CUS00177,Yes,10000.0,Yes
LON00178,CUS00178,Yes,10000.0,Yes
LON00179,CUS00179,No,,
LON00180,CUS00180,No,,
LON00181,CUS00181,Yes,20000.0,No
LON00182,CUS00182,No,,
LON00183,CUS00183,No,,
LON00184,CUS00184,Yes,20000.0,Yes
LON00185,CUS00185,Yes,10000.0,No
LON00186,CUS00186,Yes,10000.0,Yes
LON00187,CUS00187,No,,
LON00188,CUS00188,Yes,20000.0,No
LON00189,CUS00189,Yes,30000.0,No
LON00190,CUS00190,Yes,40000.0,No
LON00191,CUS00191,Yes,40000.0,Yes
LON00192,CUS00192,No,,
LON00193,CUS00193,Yes,20000.0,No
LON00194,CUS00194,Yes,20000.0,No
LON00195,CUS00195,Yes,30000.0,Yes
LON00196,CUS00196,Yes,10000.0,No
LON00197,CUS00197,No,,
LON00198,CUS00198,Yes,30000.0,No
LON00199,CUS00199,Yes,10000.0,No
LON00200,CUS00200,Yes,10000.0,Yes
LON00201,CUS00201,No,,
LON00202,CUS00202,No,,
LON00203,CUS00203,Yes,10000.0,No
LON00204,CUS00204,No,,
LON00205,CUS00205,Yes,10000.0,Yes
LON00206,CUS00206,Yes,10000.0,No
LON00207,CUS00207,Yes,10000.0,Yes
LON00208,CUS00208,Yes,20000.0,No
LON00209,CUS00209,No,,
LON00210,CUS00210,Yes,30000.0,Yes
LON00211,CUS00211,Yes,10000.0,No
LON00212,CUS00212,Yes,10000.0,No
LON00213,CUS00213,No,,
LON00214,CUS00214,Yes,10000.0,No
LON00215,CUS00215,Yes,10000.0,No
LON00216,CUS00216,Yes,40000.0,Yes
LON00217,CUS00217,Yes,10000.0,No
LON00218,CUS00218,Yes,20000.0,Yes
LON00219,CUS00219,No,,
LON00220,CUS00220,No,,
LON00221,CUS00221,Yes,20000.0,Yes
LON00222,CUS00222,No,,
LON00223,CUS00223,No,,
LON00224,CUS00224,Yes,10000.0,No
LON00225,CUS00225,No,,
LON00226,CUS00226,Yes,30000.0,No
LON00227,CUS00227,Yes,10000.0,Yes
LON00228,CUS00228,No,,
LON00229,CUS00229,Yes,20000.0,Yes
LON00230,CUS00230,Yes,10000.0,No
LON00231,CUS00231,Yes,40000.0,No
LON00232,CUS00232,Yes,20000.0,Yes
LON00233,CUS00233,Yes,10000.0,No
LON00234,CUS00234,No,,
LON00235,CUS00235,Yes,20000.0,No
LON00236,CUS00236,No,,
LON00237,CUS00237,No,,
LON00238,CUS00238,Yes,20000.0,Yes
LON00239,CUS00239,Yes,10000.0,No
LON00240,CUS00240,Yes,20000.0,No
LON00241,CUS00241,No,,
LON00242,CUS00242,No,,
LON00243,CUS00243,Yes,30000.0,No
LON00244,CUS00244,Yes,20000.0,No
LON00245,CUS00245,Yes,10000.0,No
LON00246,CUS00246,No,,
LON00247,CUS00247,Yes,20000.0,Yes
LON00248,CUS00248,No,,
LON00249,CUS00249,Yes,20000.0,Yes
LON00250,CUS00250,No,,
LON00251,CUS00251,Yes,10000.0,Yes
LON00252,CUS00252,Yes,20000.0,Yes
LON00253,CUS00253,Yes,10000.0,No
LON00254,CUS00254,Yes,20000.0,No
LON00255,CUS00255,Yes,10000.0,No
LON00256,CUS00256,No,,
LON00257,CUS00257,Yes,40000.0,No
LON00258,CUS00258,Yes,10000.0,Yes
LON00259,CUS00259,Yes,10000.0,Yes
LON00260,CUS00260,Yes,20000.0,No
LON00261,CUS00261,Yes,10000.0,No
LON00262,CUS00262,No,,
LON00263,CUS00263,No,,
LON00264,CUS00264,Yes,10000.0,Yes
LON00265,CUS00265,Yes,20000.0,No
LON00266,CUS00266,Yes,20000.0,Yes
LON00267,CUS00267,Yes,10000.0,Yes
LON00268,CUS00268,No,,
LON00269,CUS00269,Yes,40000.0,No
LON00270,CUS00270,No,,
LON00271,CUS00271,No,,
LON00272,CUS00272,Yes,20000.0,No
LON00273,CUS00273,Yes,10000.0,Yes
LON00274,CUS00274,No,,
LON00275,CUS00275,Yes,20000.0,Yes
LON00276,CUS00276,No,,
LON00277,CUS00277,No,,
LON00278,CUS00278,Yes,20000.0,No
LON00279,CUS00279,Yes,10000.0,Yes
LON00280,CUS00280,Yes,20000.0,No
LON00281,CUS00281,No,,
LON00282,CUS00282,Yes,20000.0,No
LON00283,CUS00283,No,,
LON00284,CUS00284,Yes,40000.0,No
LON00285,CUS00285,Yes,40000.0,Yes
LON00286,CUS00286,Yes,20000.0,No
LON00287,CUS00287,Yes,10000.0,Yes
LON00288,CUS00288,Yes,20000.0,Yes
LON00289,CUS00289,No,,
LON00290,CUS00290,Yes,20000.0,Yes
LON00291,CUS00291,No,,
LON00292,CUS00292,No,,
LON00293,CUS00293,Yes,10000.0,Yes
LON00294,CUS00294,Yes,40000.0,No
LON00295,CUS00295,Yes,30000.0,Yes
LON00296,CUS00296,Yes,10000.0,No
LON00297,CUS00297,Yes,10000.0,No
LON00298,CUS00298,Yes,10000.0,No
LON00299,CUS00299,Yes,10000.0,No
LON00300,CUS00300,No,,
LON00301,CUS00301,Yes,10000.0,Yes
LON00302,CUS00302,No,,
LON00303,CUS00303,No,,
LON00304,CUS00304,No,,
LON00305,CUS00305,Yes,40000.0,No
LON00306,CUS00306,Yes,50000.0,No
LON00307,CUS00307,Yes,10000.0,No
LON00308,CUS00308,Yes,20000.0,Yes
LON00309,CUS00309,No,,
LON00310,CUS00310,No,,
LON00311,CUS00311,No,,
LON00312,CUS00312,No,,
LON00313,CUS00313,Yes,20000.0,Yes
LON00314,CUS00314,No,,
LON00315,CUS00315,No,,
LON00316,CUS00316,No,,
LON00317,CUS00317,Yes,30000.0,No
LON00318,CUS00318,No,,
LON00319,CUS00319,No,,
LON00320,CUS00320,Yes,30000.0,Yes
LON00321,CUS00321,Yes,10000.0,No
LON00322,CUS00322,No,,
LON00323,CUS00323,Yes,20000.0,Yes
LON00324,CUS00324,No,,
LON00325,CUS00325,Yes,30000.0,No
LON00326,CUS00326,No,,
LON00327,CUS00327,Yes,20000.0,Yes
LON00328,CUS00328,Yes,20000.0,Yes
LON00329,CUS00329,No,,
LON00330,CUS00330,Yes,20000.0,Yes
LON00331,CUS00331,No,,
LON00332,CUS00332,No,,
LON00333,CUS00333,Yes,40000.0,No
LON00334,CUS00334,Yes,20000.0,Yes
LON00335,CUS00335,Yes,40000.0,No
LON00336,CUS00336,Yes,40000.0,No
LON00337,CUS00337,No,,
LON00338,CUS00338,Yes,20000.0,No
LON00339,CUS00339,No,,
LON00340,CUS00340,Yes,10000.0,Yes
LON00341,CUS00341,No,,
LON00342,CUS00342,Yes,10000.0,Yes
LON00343,CUS00343,No,,
LON00344,CUS00344,Yes,10000.0,Yes
LON00345,CUS00345,No,,
LON00346,CUS00346,Yes,10000.0,No
LON00347,CUS00347,Yes,10000.0,Yes
LON00348,CUS00348,Yes,30000.0,Yes
LON00349,CUS00349,Yes,20000.0,Yes
LON00350,CUS00350,Yes,10000.0,No
LON00351,CUS00351,No,,
LON00352,CUS00352,No,,
LON00353,CUS00353,Yes,10000.0,No
LON00354,CUS00354,No,,
LON00355,CUS00355,No,,
LON00356,CUS00356,Yes,10000.0,Yes
LON00357,CUS00357,Yes,10000.0,No
LON00358,CUS00358,No,,
LON00359,CUS00359,Yes,20000.0,Yes
LON00360,CUS00360,No,,
LON00361,CUS00361,Yes,40000.0,No
LON00362,CUS00362,No,,
LON00363,CUS00363,Yes,10000.0,Yes
LON00364,CUS00364,No,,
LON00365,CUS00365,Yes,20000.0,Yes
LON00366,CUS00366,No,,
LON00367,CUS00367,No,,
LON00368,CUS00368,No,,
LON00369,CUS00369,Yes,40000.0,No
LON00370,CUS00370,Yes,10000.0,No
LON00371,CUS00371,No,,
LON00372,CUS00372,No,,
LON00373,CUS00373,No,,
LON00374,CUS00374,Yes,30000.0,Yes
LON00375,CUS00375,Yes,10000.0,No
LON00376,CUS00376,No,,
LON00377,CUS00377,No,,
LON00378,CUS00378,Yes,20000.0,Yes
LON00379,CUS00379,Yes,10000.0,Yes
LON00380,CUS00380,No,,
LON00381,CUS00381,Yes,20000.0,Yes
LON00382,CUS00382,No,,
LON00383,CUS00383,Yes,30000.0,Yes
LON00384,CUS00384,Yes,20000.0,Yes
LON00385,CUS00385,No,,
LON00386,CUS00386,Yes,20000.0,Yes
LON00387,CUS00387,Yes,10000.0,Yes
LON00388,CUS00388,No,,
LON00389,CUS00389,Yes,10000.0,Yes
LON00390,CUS00390,Yes,30000.0,No
LON00391,CUS00391,Yes,10000.0,No
LON00392,CUS00392,Yes,10000.0,Yes
LON00393,CUS00393,No,,
LON00394,CUS00394,Yes,20000.0,Yes
LON00395,CUS00395,Yes,30000.0,Yes
LON00396,CUS00396,Yes,30000.0,No
LON00397,CUS00397,Yes,10000.0,No
LON00398,CUS00398,Yes,40000.0,No
LON00399,CUS00399,Yes,10000.0,Yes
LON00400,CUS00400,Yes,20000.0,Yes
LON00401,CUS00401,Yes,40000.0,No
LON00402,CUS00402,Yes,10000.0,Yes
LON00403,CUS00403,No,,
LON00404,CUS00404,No,,
LON00405,CUS00405,Yes,20000.0,No
LON00406,CUS00406,No,,
LON00407,CUS00407,Yes,10000.0,Yes
LON00408,CUS00408,No,,
LON00409,CUS00409,No,,
LON00410,CUS00410,Yes,10000.0,No
LON00411,CUS00411,Yes,20000.0,Yes
LON00412,CUS00412,Yes,10000.0,Yes
LON00413,CUS00413,No,,
LON00414,CUS00414,Yes,10000.0,No
LON00415,CUS00415,No,,
LON00416,CUS00416,Yes,40000.0,Yes
LON00417,CUS00417,No,,
LON00418,CUS00418,Yes,50000.0,No
LON00419,CUS00419,Yes,10000.0,Yes
LON00420,CUS00420,Yes,30000.0,Yes
LON00421,CUS00421,No,,
LON00422,CUS00422,Yes,10000.0,No
LON00423,CUS00423,No,,
LON00424,CUS00424,No,,
LON00425,CUS00425,Yes,20000.0,Yes
LON00426,CUS00426,Yes,40000.0,Yes
LON00427,CUS00427,No,,
LON00428,CUS00428,No,,
LON00429,CUS00429,Yes,40000.0,Yes
LON00430,CUS00430,No,,
LON00431,CUS00431,Yes,40000.0,No
LON00432,CUS00432,Yes,10000.0,Yes
LON00433,CUS00433,Yes,30000.0,No
LON00434,CUS00434,No,,
LON00435,CUS00435,No,,
LON00436,CUS00436,No,,
LON00437,CUS00437,No,,
LON00438,CUS00438,No,,
LON00439,CUS00439,No,,
LON00440,CUS00440,Yes,20000.0,Yes
LON00441,CUS00441,No,,
LON00442,CUS00442,No,,
LON00443,CUS00443,Yes,20000.0,No
LON00444,CUS00444,No,,
LON00445,CUS00445,Yes,40000.0,No
LON00446,CUS00446,No,,
LON00447,CUS00447,Yes,10000.0,Yes
LON00448,CUS00448,Yes,20000.0,Yes
LON00449,CUS00449,No,,
LON00450,CUS00450,No,,
LON00451,CUS00451,No,,
LON00452,CUS00452,Yes,30000.0,No
LON00453,CUS00453,Yes,10000.0,Yes
LON00454,CUS00454,No,,
LON00455,CUS00455,No,,
LON00456,CUS00456,No,,
LON00457,CUS00457,Yes,20000.0,No
LON00458,CUS00458,Yes,40000.0,Yes
LON00459,CUS00459,No,,
LON00460,CUS00460,No,,
LON00461,CUS00461,No,,
LON00462,CUS00462,No,,
LON00463,CUS00463,No,,
LON00464,CUS00464,No,,
LON00465,CUS00465,No,,
LON00466,CUS00466,No,,
LON00467,CUS00467,Yes,30000.0,No
LON00468,CUS00468,No,,
LON00469,CUS00469,No,,
LON00470,CUS00470,Yes,10000.0,Yes
LON00471,CUS00471,No,,
LON00472,CUS00472,Yes,20000.0,Yes
LON00473,CUS00473,Yes,20000.0,No
LON00474,CUS00474,Yes,10000.0,Yes
LON00475,CUS00475,No,,
LON00476,CUS00476,No,,
LON00477,CUS00477,No,,
LON00478,CUS00478,Yes,20000.0,No
LON00479,CUS00479,No,,
LON00480,CUS00480,Yes,50000.0,No
LON00481,CUS00481,Yes,20000.0,Yes
LON00482,CUS00482,Yes,20000.0,No
LON00483,CUS00483,No,,
LON00484,CUS00484,Yes,30000.0,Yes
LON00485,CUS00485,No,,
LON00486,CUS00486,Yes,20000.0,Yes
LON00487,CUS00487,Yes,30000.0,Yes
LON00488,CUS00488,No,,
LON00489,CUS00489,No,,
LON00490,CUS00490,Yes,40000.0,Yes
LON00491,CUS00491,No,,
LON00492,CUS00492,Yes,10000.0,No
LON00493,CUS00493,Yes,20000.0,Yes
LON00494,CUS00494,Yes,10000.0,Yes
LON00495,CUS00495,No,,
LON00496,CUS00496,Yes,20000.0,Yes
LON00497,CUS00497,Yes,20000.0,Yes
LON00498,CUS00498,Yes,20000.0,No
LON00499,CUS00499,Yes,20000.0,No
LON00500,CUS00500,No,,
LON00501,CUS00501,No,,
LON00502,CUS00502,No,,
LON00503,CUS00503,Yes,20000.0,No
LON00504,CUS00504,Yes,20000.0,No
LON00505,CUS00505,No,,
LON00506,CUS00506,Yes,40000.0,No
LON00507,CUS00507,Yes,10000.0,No
LON00508,CUS00508,Yes,20000.0,No
LON00509,CUS00509,Yes,20000.0,No
LON00510,CUS00510,Yes,40000.0,No
LON00511,CUS00511,Yes,10000.0,Yes
LON00512,CUS00512,No,,
LON00513,CUS00513,No,,
LON00514,CUS00514,Yes,40000.0,No
LON00515,CUS00515,Yes,10000.0,Yes
LON00516,CUS00516,No,,
LON00517,CUS00517,Yes,20000.0,Yes
LON00518,CUS00518,No,,
LON00519,CUS00519,No,,
LON00520,CUS00520,No,,
LON00521,CUS00521,Yes,10000.0,Yes
LON00522,CUS00522,No,,
LON00523,CUS00523,No,,
LON00524,CUS00524,Yes,30000.0,No
LON00525,CUS00525,No,,
LON00526,CUS00526,No,,
LON00527,CUS00527,No,,
LON00528,CUS00528,No,,
LON00529,CUS00529,Yes,30000.0,No
LON00530,CUS00530,No,,
LON00531,CUS00531,No,,
LON00532,CUS00532,Yes,30000.0,No
LON00533,CUS00533,Yes,10000.0,No
LON00534,CUS00534,No,,
LON00535,CUS00535,Yes,20000.0,No
LON00536,CUS00536,No,,
LON00537,CUS00537,No,,
LON00538,CUS00538,No,,
LON00539,CUS00539,Yes,20000.0,No
LON00540,CUS00540,Yes,20000.0,No
LON00541,CUS00541,Yes,20000.0,Yes
LON00542,CUS00542,Yes,10000.0,No
LON00543,CUS00543,Yes,40000.0,Yes
LON00544,CUS00544,Yes,20000.0,No
LON00545,CUS00545,No,,
LON00546,CUS00546,No,,
LON00547,CUS00547,No,,
LON00548,CUS00548,Yes,30000.0,No
LON00549,CUS00549,Yes,20000.0,Yes
LON00550,CUS00550,Yes,20000.0,No
LON00551,CUS00551,Yes,10000.0,Yes
LON00552,CUS00552,No,,
LON00553,CUS00553,Yes,30000.0,No
LON00554,CUS00554,No,,
LON00555,CUS00555,No,,
LON00556,CUS00556,Yes,20000.0,No
LON00557,CUS00557,Yes,10000.0,Yes
LON00558,CUS00558,Yes,10000.0,No
LON00559,CUS00559,No,,
LON00560,CUS00560,No,,
LON00561,CUS00561,Yes,50000.0,No
LON00562,CUS00562,Yes,40000.0,No
LON00563,CUS00563,No,,
LON00564,CUS00564,No,,
LON00565,CUS00565,No,,
LON00566,CUS00566,No,,
LON00567,CUS00567,Yes,10000.0,Yes
LON00568,CUS00568,Yes,30000.0,No
LON00569,CUS00569,Yes,10000.0,Yes
LON00570,CUS00570,Yes,10000.0,No
LON00571,CUS00571,Yes,50000.0,No
LON00572,CUS00572,Yes,20000.0,Yes
LON00573,CUS00573,Yes,10000.0,Yes
LON00574,CUS00574,No,,
LON00575,CUS00575,No,,
LON00576,CUS00576,Yes,30000.0,No
LON00577,CUS00577,No,,
LON00578,CUS00578,Yes,20000.0,Yes
LON00579,CUS00579,Yes,40000.0,Yes
LON00580,CUS00580,No,,
LON00581,CUS00581,Yes,40000.0,Yes
LON00582,CUS00582,Yes,40000.0,Yes
LON00583,CUS00583,Yes,10000.0,No
LON00584,CUS00584,No,,
LON00585,CUS00585,Yes,10000.0,Yes
LON00586,CUS00586,Yes,30000.0,No
LON00587,CUS00587,Yes,20000.0,No
LON00588,CUS00588,Yes,40000.0,No
LON00589,CUS00589,Yes,10000.0,No
LON00590,CUS00590,No,,
LON00591,CUS00591,Yes,20000.0,No
LON00592,CUS00592,Yes,40000.0,Yes
LON00593,CUS00593,No,,
LON00594,CUS00594,Yes,10000.0,No
LON00595,CUS00595,No,,
LON00596,CUS00596,Yes,10000.0,Yes
LON00597,CUS00597,Yes,40000.0,Yes
LON00598,CUS00598,Yes,40000.0,Yes
LON00599,CUS00599,No,,
LON00600,CUS00600,Yes,20000.0,No
LON00601,CUS00601,No,,
LON00602,CUS00602,No,,
LON00603,CUS00603,Yes,40000.0,No
LON00604,CUS00604,Yes,20000.0,No
LON00605,CUS00605,Yes,10000.0,No
LON00606,CUS00606,No,,
LON00607,CUS00607,Yes,10000.0,Yes
LON00608,CUS00608,Yes,20000.0,No
LON00609,CUS00609,No,,
LON00610,CUS00610,No,,
LON00611,CUS00611,Yes,20000.0,Yes
LON00612,CUS00612,Yes,20000.0,Yes
LON00613,CUS00613,No,,
LON00614,CUS00614,Yes,20000.0,No
LON00615,CUS00615,No,,
LON00616,CUS00616,No,,
LON00617,CUS00617,Yes,20000.0,Yes
LON00618,CUS00618,Yes,20000.0,No
LON00619,CUS00619,Yes,10000.0,No
LON00620,CUS00620,No,,
LON00621,CUS00621,Yes,10000.0,Yes
LON00622,CUS00622,No,,
LON00623,CUS00623,Yes,20000.0,No
LON00624,CUS00624,Yes,10000.0,Yes
LON00625,CUS00625,Yes,10000.0,No
LON00626,CUS00626,Yes,40000.0,Yes
LON00627,CUS00627,Yes,10000.0,No
LON00628,CUS00628,Yes,20000.0,Yes
LON00629,CUS00629,Yes,20000.0,Yes
LON00630,CUS00630,Yes,20000.0,Yes
LON00631,CUS00631,No,,
LON00632,CUS00632,Yes,20000.0,Yes
LON00633,CUS00633,Yes,20000.0,No
LON00634,CUS00634,Yes,30000.0,Yes
LON00635,CUS00635,No,,
LON00636,CUS00636,Yes,40000.0,No
LON00637,CUS00637,No,,
LON00638,CUS00638,Yes,20000.0,Yes
LON00639,CUS00639,Yes,10000.0,No
LON00640,CUS00640,No,,
LON00641,CUS00641,No,,
LON00642,CUS00642,Yes,10000.0,Yes
LON00643,CUS00643,Yes,10000.0,No
LON00644,CUS00644,No,,
LON00645,CUS00645,Yes,10000.0,Yes
LON00646,CUS00646,Yes,20000.0,No
LON00647,CUS00647,Yes,10000.0,No
LON00648,CUS00648,No,,
LON00649,CUS00649,Yes,10000.0,Yes
LON00650,CUS00650,No,,
LON00651,CUS00651,Yes,10000.0,No
LON00652,CUS00652,Yes,30000.0,No
LON00653,CUS00653,No,,
LON00654,CUS00654,Yes,10000.0,No
LON00655,CUS00655,No,,
LON00656,CUS00656,No,,
LON00657,CUS00657,Yes,10000.0,Yes
LON00658,CUS00658,Yes,40000.0,Yes
LON00659,CUS00659,No,,
LON00660,CUS00660,Yes,10000.0,No
LON00661,CUS00661,No,,
LON00662,CUS00662,No,,
LON00663,CUS00663,Yes,20000.0,Yes
LON00664,CUS00664,No,,
LON00665,CUS00665,Yes,20000.0,No
LON00666,CUS00666,No,,
LON00667,CUS00667,No,,
LON00668,CUS00668,Yes,30000.0,Yes
LON00669,CUS00669,No,,
LON00670,CUS00670,No,,
LON00671,CUS00671,Yes,10000.0,No
LON00672,CUS00672,Yes,40000.0,No
LON00673,CUS00673,No,,
LON00674,CUS00674,Yes,10000.0,No
LON00675,CUS00675,Yes,20000.0,Yes
LON00676,CUS00676,No,,
LON00677,CUS00677,Yes,10000.0,Yes
LON00678,CUS00678,Yes,20000.0,Yes
LON00679,CUS00679,No,,
LON00680,CUS00680,No,,
LON00681,CUS00681,No,,
LON00682,CUS00682,Yes,20000.0,Yes
LON00683,CUS00683,Yes,10000.0,No
LON00684,CUS00684,Yes,10000.0,Yes
LON00685,CUS00685,Yes,30000.0,No
LON00686,CUS00686,No,,
LON00687,CUS00687,Yes,10000.0,Yes
LON00688,CUS00688,Yes,20000.0,Yes
LON00689,CUS00689,Yes,20000.0,Yes
LON00690,CUS00690,Yes,20000.0,Yes
LON00691,CUS00691,No,,
LON00692,CUS00692,Yes,30000.0,No
LON00693,CUS00693,No,,
LON00694,CUS00694,Yes,20000.0,Yes
LON00695,CUS00695,Yes,30000.0,Yes
LON00696,CUS00696,Yes,20000.0,No
LON00697,CUS00697,No,,
LON00698,CUS00698,No,,
LON00699,CUS00699,Yes,10000.0,No
LON00700,CUS00700,Yes,20000.0,No
LON00701,CUS00701,Yes,10000.0,No
LON00702,CUS00702,Yes,30000.0,No
LON00703,CUS00703,Yes,20000.0,No
LON00704,CUS00704,No,,
LON00705,CUS00705,No,,
LON00706,CUS00706,No,,
LON00707,CUS00707,No,,
LON00708,CUS00708,No,,
LON00709,CUS00709,Yes,20000.0,No
LON00710,CUS00710,Yes,10000.0,Yes
LON00711,CUS00711,No,,
LON00712,CUS00712,No,,
