customer_id,account_open_date,acquisition_channel,kyc_level,location
CUS00121,2022-02-07,Ads,Tier 2,Plateau
CUS00122,2022-04-28,Loan Campaign,Tier 3,Lagos
CUS00123,2022-01-06,Ads,Tier 2,Plateau
CUS00124,2022-05-21,Agent Network,Tier 1,Kaduna
CUS00125,2022-04-14,Loan Campaign,Tier 1,Lagos
CUS00126,2022-01-17,Ads,Tier 2,Lagos
CUS00127,2022-01-10,Ads,Tier 3,Lagos
CUS00128,2022-03-07,Ads,Tier 2,Plateau
CUS00129,2022-02-18,Agent Network,Tier 1,Lagos
CUS00130,2022-03-09,Loan Campaign,Tier 1,Plateau
CUS00131,2022-05-27,Referral,Tier 2,Lagos
CUS00132,2022-01-15,Loan Campaign,Tier 1,Lagos
CUS00133,2022-01-22,Ads,Tier 2,Lagos
CUS00134,2022-04-28,Referral,Tier 1,Plateau
CUS00135,2022-01-31,Loan Campaign,Tier 2,Lagos
CUS00136,2022-03-07,Ads,Tier 1,Kaduna
CUS00137,2022-02-27,Loan Campaign,Tier 1,Plateau
CUS00138,2022-03-08,Loan Campaign,Tier 2,Plateau
CUS00139,2022-02-11,Loan Campaign,Tier 1,Lagos
CUS00140,2022-03-24,Ads,Tier 1,Lagos
CUS00141,2022-05-04,Referral,Tier 1,Lagos
CUS00142,2022-05-07,Ads,Tier 2,Plateau
CUS00143,2022-04-04,Ads,Tier 3,Plateau
CUS00144,2022-03-04,Referral,Tier 2,Lagos
CUS00145,2022-05-26,Ads,Tier 3,Lagos
CUS00146,2022-03-05,Loan Campaign,Tier 3,Lagos
CUS00147,2022-03-08,Ads,Tier 2,Plateau
CUS00148,2022-01-01,Loan Campaign,Tier 1,Lagos
CUS00149,2022-04-18,Loan Campaign,Tier 3,Lagos
CUS00150,2022-06-03,Loan Campaign,Tier 1,Lagos
CUS00151,2022-02-17,Ads,Tier 2,Lagos
CUS00152,2022-03-24,Referral,Tier 2,Lagos
CUS00153,2022-03-01,Ads,Tier 2,Lagos
CUS00154,2022-01-12,Loan Campaign,Tier 1,Lagos
CUS00155,2022-05-21,Referral,Tier 2,Kaduna
CUS00156,2022-02-27,Agent Network,Tier 1,Lagos
CUS00157,2022-02-21,Loan Campaign,Tier 1,Lagos
CUS00158,2022-01-29,Loan Campaign,Tier 2,Kaduna
CUS00159,2022-06-19,Loan Campaign,Tier 2,Lagos
CUS00160,2022-02-05,Loan Campaign,Tier 2,Kaduna
CUS00161,2022-06-09,Loan Campaign,Tier 3,Lagos
CUS00162,2022-05-14,Referral,Tier 2,Lagos
CUS00163,2022-02-28,Referral,Tier 2,Lagos
CUS00164,2022-04-28,Loan Campaign,Tier 2,Lagos
CUS00165,2022-03-29,Ads,Tier 2,Kaduna
CUS00166,2022-03-01,Direct,Tier 1,Lagos
CUS00167,2022-05-29,Agent Network,Tier 2,Lagos
CUS00168,2022-01-31,Referral,Tier 2,Lagos
CUS00169,2022-02-09,Ads,Tier 2,Lagos
CUS00170,2022-01-23,Loan Campaign,Tier 2,Lagos
CUS00171,2022-01-14,Loan Campaign,Tier 1,Kaduna
CUS00172,2022-05-02,Loan Campaign,Tier 2,Plateau
CUS00173,2022-01-12,Loan Campaign,Tier 2,Lagos
CUS00174,2022-01-14,Loan Campaign,Tier 1,Lagos
CUS00175,2022-03-14,Loan Campaign,Tier 1,Lagos
CUS00176,2022-05-16,Direct,Tier 2,Lagos
CUS00177,2022-01-16,Referral,Tier 1,Kaduna
CUS00178,2022-04-28,Ads,Tier 1,Lagos
CUS00179,2022-06-12,Direct,Tier 1,Kaduna
CUS00180,2022-02-22,Ads,Tier 2,Plateau
CUS00181,2022-02-20,Ads,Tier 1,Lagos
CUS00182,2022-05-04,Direct,Tier 2,Lagos
CUS00183,2022-03-04,Referral,Tier 1,Kaduna
CUS00184,2022-03-09,Ads,Tier 1,Plateau
CUS00185,2022-05-28,Referral,Tier 1,Lagos
CUS00186,2022-02-01,Loan Campaign,Tier 1,Kaduna
CUS00187,2022-01-01,Loan Campaign,Tier 2,Lagos
CUS00188,2022-02-20,Loan Campaign,Tier 2,Plateau
CUS00189,2022-05-28,Referral,Tier 2,Lagos
CUS00190,2022-01-28,Ads,Tier 2,Lagos
CUS00191,2022-03-03,Loan Campaign,Tier 2,Lagos
CUS00192,2022-04-18,Direct,Tier 2,Lagos
CUS00193,2022-01-23,Ads,Tier 1,Lagos
CUS00194,2022-03-11,Loan Campaign,Tier 2,Plateau
CUS00195,2022-04-04,Ads,Tier 2,Lagos
CUS00196,2022-01-19,Loan Campaign,Tier 1,Lagos
CUS00197,2022-03-22,Ads,Tier 2,Lagos
CUS00198,2022-03-12,Loan Campaign,Tier 2,Lagos
CUS00199,2022-06-18,Referral,Tier 2,Lagos
CUS00200,2022-02-23,Ads,Tier 1,Kaduna
CUS00201,2022-05-16,Agent Network,Tier 2,Lagos
CUS00202,2022-03-21,Agent Network,Tier 1,Plateau
CUS00203,2022-06-07,Ads,Tier 1,Kaduna
CUS00204,2022-05-07,Agent Network,Tier 1,Kaduna
CUS00205,2022-02-27,Loan Campaign,Tier 1,Kaduna
CUS00206,2022-04-13,Ads,Tier 1,Plateau
CUS00207,2022-05-08,Loan Campaign,Tier 1,Lagos
CUS00208,2022-03-07,Direct,Tier 1,Lagos
CUS00209,2022-06-15,Loan Campaign,Tier 2,Lagos
CUS00210,2022-03-11,Ads,Tier 2,Lagos
CUS00211,2022-03-03,Loan Campaign,Tier 1,Plateau
CUS00212,2022-01-20,Referral,Tier 1,Lagos
CUS00213,2022-06-25,Referral,Tier 2,Lagos
CUS00214,2022-02-04,Loan Campaign,Tier 1,Lagos
CUS00215,2022-04-20,Referral,Tier 2,Lagos
CUS00216,2022-03-26,Ads,Tier 2,Plateau
CUS00217,2022-04-24,Loan Campaign,Tier 2,Lagos
CUS00218,2022-01-25,Loan Campaign,Tier 1,Kaduna
CUS00219,2022-01-31,Referral,Tier 2,Kaduna
CUS00220,2022-02-28,Referral,Tier 1,Lagos
CUS00221,2022-02-07,Ads,Tier 1,Lagos
CUS00222,2022-04-22,Direct,Tier 3,Lagos
CUS00223,2022-05-08,Referral,Tier 1,Lagos
CUS00224,2022-06-01,Loan Campaign,Tier 1,Kaduna
CUS00225,2022-06-11,Ads,Tier 1,Lagos
CUS00226,2022-05-04,Loan Campaign,Tier 2,Plateau
CUS00227,2022-05-09,Loan Campaign,Tier 1,Lagos
CUS00228,2022-05-06,Loan Campaign,Tier 1,Plateau
CUS00229,2022-02-05,Loan Campaign,Tier 1,Kaduna
CUS00230,2022-02-10,Loan Campaign,Tier 1,Lagos
CUS00231,2022-03-13,Referral,Tier 2,Plateau
CUS00232,2022-03-22,Ads,Tier 1,Plateau
CUS00233,2022-01-12,Ads,Tier 1,Lagos
CUS00234,2022-06-17,Referral,Tier 1,Lagos
CUS00235,2022-02-21,Referral,Tier 1,Lagos
CUS00236,2022-05-11,Direct,Tier 3,Lagos
CUS00237,2022-03-14,Referral,Tier 3,Lagos
CUS00238,2022-03-27,Loan Campaign,Tier 2,Lagos
CUS00239,2022-03-21,Ads,Tier 2,Lagos
CUS00240,2022-01-28,Loan Campaign,Tier 1,Lagos
CUS00241,2022-01-19,Loan Campaign,Tier 2,Lagos
CUS00242,2022-05-25,Referral,Tier 3,Lagos
CUS00243,2022-06-21,Ads,Tier 2,Lagos
CUS00244,2022-03-21,Ads,Tier 1,Plateau
CUS00245,2022-02-13,Loan Campaign,Tier 1,Lagos
CUS00246,2022-04-16,Ads,Tier 2,Lagos
CUS00247,2022-01-12,Ads,Tier 1,Plateau
CUS00248,2022-04-26,Referral,Tier 2,Plateau
CUS00249,2022-01-13,Loan Campaign,Tier 1,Plateau
CUS00250,2022-04-24,Referral,Tier 2,Lagos
CUS00251,2022-03-29,Loan Campaign,Tier 1,Kaduna
CUS00252,2022-01-13,Loan Campaign,Tier 1,Lagos
CUS00253,2022-01-26,Agent Network,Tier 1,Plateau
CUS00254,2022-02-01,Loan Campaign,Tier 1,Lagos
CUS00255,2022-02-10,Loan Campaign,Tier 2,Lagos
CUS00256,2022-03-12,Referral,Tier 1,Lagos
CUS00257,2022-03-01,Loan Campaign,Tier 2,Plateau
CUS00258,2022-04-12,Ads,Tier 1,Lagos
CUS00259,2022-02-16,Ads,Tier 1,Plateau
CUS00260,2022-06-26,Ads,Tier 1,Kaduna
CUS00261,2022-01-15,Loan Campaign,Tier 1,Lagos
CUS00262,2022-04-17,Ads,Tier 2,Lagos
CUS00263,2022-02-27,Direct,Tier 3,Lagos
CUS00264,2022-03-10,Loan Campaign,Tier 2,Plateau
CUS00265,2022-05-20,Agent Network,Tier 1,Lagos
CUS00266,2022-02-02,Ads,Tier 1,Lagos
CUS00267,2022-02-11,Loan Campaign,Tier 2,Lagos
CUS00268,2022-05-14,Referral,Tier 1,Lagos
CUS00269,2022-02-11,Loan Campaign,Tier 2,Plateau
CUS00270,2022-04-19,Agent Network,Tier 2,Kaduna
CUS00271,2022-05-11,Referral,Tier 2,Lagos
CUS00272,2022-05-26,Direct,Tier 3,Lagos
CUS00273,2022-01-31,Loan Campaign,Tier 1,Lagos
CUS00274,2022-03-05,Ads,Tier 1,Plateau
CUS00275,2022-04-19,Ads,Tier 1,Plateau
CUS00276,2022-06-06,Direct,Tier 3,Kaduna
CUS00277,2022-04-30,Loan Campaign,Tier 2,Lagos
CUS00278,2022-05-08,Ads,Tier 2,Lagos
CUS00279,2022-03-16,Loan Campaign,Tier 1,Lagos
CUS00280,2022-01-14,Ads,Tier 1,Lagos
CUS00281,2022-01-06,Referral,Tier 3,Lagos
CUS00282,2022-03-30,Ads,Tier 2,Lagos
CUS00283,2022-05-31,Loan Campaign,Tier 2,Lagos
CUS00284,2022-01-16,Loan Campaign,Tier 2,Lagos
CUS00285,2022-03-24,Ads,Tier 3,Lagos
CUS00286,2022-02-19,Loan Campaign,Tier 1,Lagos
CUS00287,2022-03-07,Ads,Tier 2,Plateau
CUS00288,2022-02-08,Loan Campaign,Tier 1,Lagos
CUS00289,2022-05-30,Ads,Tier 1,Lagos
CUS00290,2022-02-18,Ads,Tier 1,Lagos
CUS00291,2022-02-14,Referral,Tier 2,Lagos
CUS00292,2022-01-09,Ads,Tier 1,Lagos
CUS00293,2022-01-31,Ads,Tier 2,Lagos
CUS00294,2022-02-26,Referral,Tier 2,Lagos
CUS00295,2022-03-19,Ads,Tier 2,Kaduna
CUS00296,2022-03-23,Loan Campaign,Tier 1,Lagos
CUS00297,2022-01-16,Ads,Tier 2,Plateau
CUS00298,2022-03-17,Loan Campaign,Tier 1,Lagos
CUS00299,2022-02-19,Loan Campaign,Tier 1,Lagos
CUS00300,2022-05-06,Ads,Tier 1,Lagos
CUS00301,2022-01-17,Loan Campaign,Tier 2,Lagos
CUS00302,2022-05-02,Referral,Tier 1,Plateau
CUS00303,2022-03-29,Loan Campaign,Tier 2,Lagos
CUS00304,2022-03-04,Agent Network,Tier 1,Lagos
CUS00305,2022-05-03,Ads,Tier 2,Lagos
CUS00306,2022-01-15,Ads,Tier 3,Lagos
CUS00307,2022-03-22,Loan Campaign,Tier 1,Lagos
CUS00308,2022-01-18,Direct,Tier 1,Lagos
CUS00309,2022-06-03,Ads,Tier 2,Lagos
CUS00310,2022-05-07,Agent Network,Tier 1,Lagos
CUS00311,2022-01-13,Ads,Tier 1,Plateau
CUS00312,2022-05-19,Agent Network,Tier 2,Lagos
CUS00313,2022-03-10,Ads,Tier 1,Lagos
CUS00314,2022-03-12,Direct,Tier 2,Lagos
CUS00315,2022-05-12,Loan Campaign,Tier 1,Plateau
CUS00316,2022-01-13,Direct,Tier 2,Lagos
CUS00317,2022-02-18,Referral,Tier 2,Lagos
CUS00318,2022-01-28,Direct,Tier 2,Kaduna
CUS00319,2022-03-18,Referral,Tier 3,Plateau
CUS00320,2022-02-24,Ads,Tier 2,Plateau
CUS00321,2022-05-11,Loan Campaign,Tier 2,Kaduna
CUS00322,2022-01-19,Referral,Tier 1,Lagos
CUS00323,2022-01-21,Loan Campaign,Tier 1,Lagos
CUS00324,2022-01-31,Loan Campaign,Tier 1,Plateau
CUS00325,2022-03-16,Loan Campaign,Tier 2,Lagos
CUS00326,2022-01-26,Loan Campaign,Tier 1,Lagos
CUS00327,2022-03-09,Loan Campaign,Tier 2,Lagos
CUS00328,2022-05-12,Referral,Tier 2,Kaduna
CUS00329,2022-05-27,Ads,Tier 2,Lagos
CUS00330,2022-03-20,Ads,Tier 1,Lagos
CUS00331,2022-03-27,Referral,Tier 1,Plateau
CUS00332,2022-03-23,Loan Campaign,Tier 2,Plateau
CUS00333,2022-01-25,Loan Campaign,Tier 2,Lagos
CUS00334,2022-01-20,Referral,Tier 1,Lagos
CUS00335,2022-02-22,Ads,Tier 2,Lagos
CUS00336,2022-06-26,Loan Campaign,Tier 3,Kaduna
CUS00337,2022-03-22,Loan Campaign,Tier 1,Lagos
CUS00338,2022-01-08,Loan Campaign,Tier 1,Lagos
CUS00339,2022-06-12,Agent Network,Tier 1,Lagos
CUS00340,2022-03-22,Ads,Tier 2,Plateau
CUS00341,2022-04-02,Ads,Tier 2,Lagos
CUS00342,2022-01-25,Loan Campaign,Tier 1,Lagos
CUS00343,2022-04-13,Ads,Tier 1,Plateau
CUS00344,2022-01-12,Loan Campaign,Tier 1,Lagos
CUS00345,2022-03-30,Agent Network,Tier 1,Plateau
CUS00346,2022-04-15,Loan Campaign,Tier 2,Plateau
CUS00347,2022-01-01,Loan Campaign,Tier 1,Lagos
CUS00348,2022-03-06,Loan Campaign,Tier 2,Kaduna
CUS00349,2022-02-21,Loan Campaign,Tier 1,Kaduna
CUS00350,2022-02-07,Loan Campaign,Tier 1,Plateau
CUS00351,2022-01-14,Ads,Tier 2,Plateau
CUS00352,2022-05-30,Ads,Tier 3,Plateau
CUS00353,2022-02-04,Loan Campaign,Tier 2,Lagos
CUS00354,2022-04-01,Loan Campaign,Tier 1,Lagos
CUS00355,2022-01-13,Loan Campaign,Tier 1,Lagos
CUS00356,2022-03-18,Loan Campaign,Tier 1,Lagos
CUS00357,2022-02-08,Ads,Tier 1,Lagos
CUS00358,2022-02-25,Direct,Tier 2,Kaduna
CUS00359,2022-01-13,Loan Campaign,Tier 1,Kaduna
CUS00360,2022-06-23,Ads,Tier 1,Kaduna
CUS00361,2022-04-07,Ads,Tier 2,Plateau
CUS00362,2022-01-16,Ads,Tier 2,Kaduna
CUS00363,2022-01-29,Loan Campaign,Tier 1,Lagos
CUS00364,2022-03-01,Direct,Tier 3,Plateau
CUS00365,2022-02-13,Loan Campaign,Tier 1,Lagos
CUS00366,2022-03-10,Loan Campaign,Tier 1,Lagos
CUS00367,2022-01-12,Loan Campaign,Tier 1,Lagos
CUS00368,2022-05-12,Agent Network,Tier 1,Lagos
CUS00369,2022-06-01,Direct,Tier 2,Lagos
CUS00370,2022-03-04,Loan Campaign,Tier 1,Lagos
CUS00371,2022-04-28,Referral,Tier 3,Lagos
CUS00372,2022-03-28,Loan Campaign,Tier 2,Lagos
CUS00373,2022-05-07,Ads,Tier 2,Kaduna
CUS00374,2022-01-19,Ads,Tier 2,Lagos
CUS00375,2022-02-20,Direct,Tier 3,Lagos
CUS00376,2022-02-25,Referral,Tier 1,Lagos
CUS00377,2022-03-29,Agent Network,Tier 2,Lagos
CUS00378,2022-03-08,Loan Campaign,Tier 2,Lagos
CUS00379,2022-02-22,Loan Campaign,Tier 1,Kaduna
CUS00380,2022-06-30,Loan Campaign,Tier 2,Lagos
CUS00381,2022-02-13,Loan Campaign,Tier 2,Plateau
CUS00382,2022-02-17,Loan Campaign,Tier 1,Lagos
CUS00383,2022-06-06,Referral,Tier 2,Lagos
CUS00384,2022-01-31,Ads,Tier 2,Plateau
CUS00385,2022-05-30,Ads,Tier 1,Lagos
CUS00386,2022-01-08,Ads,Tier 1,Plateau
CUS00387,2022-03-27,Loan Campaign,Tier 1,Lagos
CUS00388,2022-01-11,Loan Campaign,Tier 1,Lagos
CUS00389,2022-03-10,Loan Campaign,Tier 1,Kaduna
CUS00390,2022-02-25,Loan Campaign,Tier 2,Lagos
CUS00391,2022-02-23,Ads,Tier 1,Lagos
CUS00392,2022-03-04,Loan Campaign,Tier 2,Kaduna
CUS00393,2022-03-05,Loan Campaign,Tier 2,Lagos
CUS00394,2022-01-16,Agent Network,Tier 2,Plateau
CUS00395,2022-01-21,Ads,Tier 2,Lagos
CUS00396,2022-05-02,Referral,Tier 2,Lagos
CUS00397,2022-01-24,Ads,Tier 1,Lagos
CUS00398,2022-01-31,Direct,Tier 2,Lagos
CUS00399,2022-02-28,Loan Campaign,Tier 1,Kaduna
CUS00400,2022-03-25,Loan Campaign,Tier 1,Lagos
CUS00401,2022-04-20,Loan Campaign,Tier 2,Lagos
CUS00402,2022-02-13,Loan Campaign,Tier 1,Lagos
CUS00403,2022-02-07,Ads,Tier 1,Kaduna
CUS00404,2022-06-07,Agent Network,Tier 1,Lagos
CUS00405,2022-02-19,Ads,Tier 1,Kaduna
CUS00406,2022-01-18,Ads,Tier 3,Kaduna
CUS00407,2022-02-04,Loan Campaign,Tier 1,Lagos
CUS00408,2022-06-13,Ads,Tier 3,Lagos
CUS00409,2022-06-14,Loan Campaign,Tier 3,Lagos
CUS00410,2022-02-05,Ads,Tier 1,Lagos
CUS00411,2022-02-24,Loan Campaign,Tier 1,Lagos
CUS00412,2022-02-18,Ads,Tier 2,Lagos
CUS00413,2022-05-13,Direct,Tier 1,Lagos
CUS00414,2022-02-06,Loan Campaign,Tier 2,Kaduna
CUS00415,2022-02-08,Loan Campaign,Tier 2,Lagos
CUS00416,2022-01-04,Loan Campaign,Tier 2,Lagos
CUS00417,2022-03-30,Loan Campaign,Tier 2,Lagos
CUS00418,2022-02-01,Direct,Tier 3,Plateau
CUS00419,2022-02-02,Ads,Tier 2,Lagos
CUS00420,2022-01-04,Ads,Tier 2,Plateau
CUS00421,2022-04-24,Agent Network,Tier 1,Lagos
CUS00422,2022-03-05,Loan Campaign,Tier 2,Lagos
CUS00423,2022-04-12,Referral,Tier 3,Lagos
CUS00424,2022-01-07,Ads,Tier 3,Lagos
CUS00425,2022-01-31,Ads,Tier 1,Lagos
CUS00426,2022-02-18,Ads,Tier 2,Plateau
CUS00427,2022-04-11,Agent Network,Tier 2,Lagos
CUS00428,2022-04-13,Direct,Tier 2,Kaduna
CUS00429,2022-04-14,Ads,Tier 2,Plateau
CUS00430,2022-05-13,Loan Campaign,Tier 2,Lagos
CUS00431,2022-02-17,Ads,Tier 2,Lagos
CUS00432,2022-02-27,Agent Network,Tier 1,Plateau
CUS00433,2022-04-04,Ads,Tier 2,Lagos
CUS00434,2022-04-16,Direct,Tier 2,Plateau
CUS00435,2022-06-06,Ads,Tier 1,Lagos
CUS00436,2022-01-16,Agent Network,Tier 1,Plateau
CUS00437,2022-02-11,Agent Network,Tier 2,Lagos
CUS00438,2022-02-22,Referral,Tier 2,Lagos
CUS00439,2022-02-17,Referral,Tier 3,Kaduna
CUS00440,2022-01-23,Loan Campaign,Tier 1,Lagos
CUS00441,2022-01-20,Loan Campaign,Tier 1,Lagos
CUS00442,2022-06-30,Referral,Tier 2,Plateau
CUS00443,2022-04-03,Ads,Tier 2,Lagos
CUS00444,2022-03-04,Agent Network,Tier 1,Kaduna
CUS00445,2022-02-25,Loan Campaign,Tier 2,Plateau
CUS00446,2022-01-08,Agent Network,Tier 1,Kaduna
CUS00447,2022-03-31,Loan Campaign,Tier 1,Plateau
CUS00448,2022-03-14,Loan Campaign,Tier 1,Lagos
CUS00449,2022-01-21,Direct,Tier 2,Lagos
CUS00450,2022-04-12,Direct,Tier 2,Kaduna
CUS00451,2022-02-07,Loan Campaign,Tier 2,Lagos
CUS00452,2022-02-19,Referral,Tier 2,Lagos
CUS00453,2022-01-29,Loan Campaign,Tier 1,Lagos
CUS00454,2022-03-20,Direct,Tier 3,Lagos
CUS00455,2022-01-19,Loan Campaign,Tier 2,Lagos
CUS00456,2022-01-02,Agent Network,Tier 1,Lagos
CUS00457,2022-03-06,Ads,Tier 2,Plateau
CUS00458,2022-03-05,Loan Campaign,Tier 2,Lagos
CUS00459,2022-04-01,Direct,Tier 2,Lagos
CUS00460,2022-06-23,Referral,Tier 2,Plateau
CUS00461,2022-02-27,Direct,Tier 3,Lagos
CUS00462,2022-04-03,Ads,Tier 1,Plateau
CUS00463,2022-03-22,Ads,Tier 3,Kaduna
CUS00464,2022-06-05,Loan Campaign,Tier 1,Plateau
CUS00465,2022-04-26,Referral,Tier 3,Lagos
